Profile;P1;administrator;;;;;;;;;;
Profile;P2;manager;;;;;;;;;;
Profile;P3;user;;;;;;;;;;
Account;js@mymail.com;Joao Silva;915879652;active;P1;;;;;;;
Account;ms@mymail.com;Manel Costa;263650520;active;P2;;;;;;;
Account;xf@mymail.com;Xico Ferreira;263650532;active;P3;;;;;;;
Account;tc@mymail.com;Tiago Cancado;263650345;active;P3;;;;;;;
Account;udu@mymail.com;Urbino das Urzes;962547891;active;P3;;;;;;;
Account;ze@mymail.com;Ze da Esquina;212349016;active;P3;;;;;;;
Account;nel.m@mymail.com;Nel Moleiro;930123456;active;P3;;;;;;;
Account;zb@mymail.com;Zé do Bento;921458791;active;P3;;;;;;;
Account;to.f@mymail.com;Tó Farrulo;921458795;active;P3;;;;;;;
Account;tdc@mymail.com;Tino das Cruzes;921458799;active;P3;;;;;;;
Account;qb@mymail.com;Quim Barreiros;921458803;active;P3;;;;;;;
Account;tg@mymail.com;Tiago Geringonca;921458807;active;P3;;;;;;;
Account;zm@mymail.com;Zé Manel;921458811;active;P3;;;;;;;
Account;as@mymail.com;Antonio Silva;921458815;active;P3;;;;;;;
BusinessSector;1;It doesn't matter;;;;;;;;;;
BusinessSector;2;Hospitality industry;;;;;;;;;;
Customer;1;XPTO, SA;219468257;;;;;;;;;
Customer;2;XYZ, Lda;267978596;;;;;;;;;
Customer;3;Hell, LLC;211548626;;;;;;;;;
Typology;1;Fixed cost;;;;;;;;;;
Typology;2;Time and materials;;;;;;;;;;
ResourceInProject;resource1;tc@mymail.com;Project Manager;2022-01-02;2022-07-31;35;EUR;20;PRJ1;;;
ResourceInProject;resource2;js@mymail.com;Product Owner;2022-01-03;2022-07-31;25;EUR;20;PRJ1;;;
ResourceInProject;resource3;ms@mymail.com;Scrum Master;2022-01-04;2022-07-31;25;EUR;30;PRJ1;;;
ResourceInProject;resource4;xf@mymail.com;Team Member;2022-01-05;2022-07-31;20;EUR;100;PRJ1;;;
ResourceInProject;resource5;nel.m@mymail.com;Team Member;2022-01-07;2022-07-31;20;EUR;100;PRJ1;;;
ResourceInProject;resource6;zb@mymail.com;Team Member;2022-01-08;2022-06-20;20;EUR;100;PRJ1;;;
ResourceInProject;resource7;to.f@mymail.com;Team Member;2022-01-08;2022-06-20;20;EUR;100;PRJ1;;;
ResourceInProject;resource8;tdc@mymail.com;Team Member;2022-01-10;2022-06-20;20;EUR;100;PRJ1;;;
ResourceInProject;resource9;qb@mymail.com;Project Manager;2022-01-15;2022-04-30;42;EUR;20;PRJ2;;;
ResourceInProject;resource10;tg@mymail.com;Product Owner;2022-01-15;2022-04-30;30;EUR;20;PRJ2;;;
ResourceInProject;resource11;zm@mymail.com;Team Member;2022-01-31;2022-04-30;20;EUR;100;PRJ2;;;
ResourceInProject;resource12;as@mymail.com;Team Member;2022-01-31;2022-04-30;18;EUR;100;PRJ2;;;
Project;PRJ1;Dummy 01;Just a dummy project;1;1;1;Closed;2;8;150000;EUR;2022-03-01;2022-07-31
Project;PRJ2;Dummy 02;Just another dummy project;2;1;1;Closed;4;12;350000;EUR;2022-05-31;2023-04-29
Project;PRJ3;Inevitable nightmare;Doomed from the start;3;2;2;Inception;3;15;750000;EUR;2023-03-10;
UserStory;US01;PRJ1;1;Actor1;Dummy 01;Finished;2;;;;;
UserStory;US02;PRJ1;2;Actor2;Dummy 02;Finished;4;;;;;
UserStory;US03;PRJ1;3;Actor3;Dummy 03;Finished;3;;;;;
UserStory;US04;PRJ1;4;Actor4;Dummy 04;Finished;5;;;;;
UserStory;US05;PRJ1;5;Actor5;Dummy 05;Finished;6;;;;;
UserStory;US06;PRJ1;6;Actor6;Dummy 06;Finished;7;;;;;
UserStory;US07;PRJ1;7;Actor7;Dummy 07;Running;1;;;;;
UserStory;US08;PRJ1;8;Actor8;Dummy 08;Finished;8;;;;;
UserStory;US09;PRJ1;9;Actor9;Dummy 09;Finished;9;;;;;
UserStory;US10;PRJ1;10;Actor10;Dummy 10;Blocked;10;;;;;
UserStory;US11;PRJ1;11;Actor11;Dummy 11;Finished;11;;;;;
UserStory;US12;PRJ1;12;Actor12;Dummy 12;Finished;12;;;;;
UserStory;US13;PRJ1;13;Actor13;Dummy 13;Finished;13;;;;;
UserStory;US14;PRJ1;14;Actor14;Dummy 14;Finished;14;;;;;
UserStory;US15;PRJ1;15;Actor15;Dummy 15;Finished;15;;;;;
UserStory;US16;PRJ1;16;Actor16;Dummy 16;Finished;16;;;;;
UserStory;US17;PRJ1;17;Actor17;Dummy 17;Finished;17;;;;;
UserStory;US18;PRJ1;18;Actor18;Dummy 18;Finished;18;;;;;
UserStory;US19;PRJ1;19;Actor19;Dummy 19;Finished;19;;;;;
UserStory;US20;PRJ1;20;Actor20;Dummy 20;Finished;20;;;;;
UserStory;US21;PRJ1;21;Actor21;Dummy 21;Finished;21;;;;;
UserStory;US22;PRJ1;22;Actor22;Dummy 22;Finished;22;;;;;
UserStory;US23;PRJ1;23;Actor23;Dummy 23;Finished;23;;;;;
UserStory;US24;PRJ1;24;Actor24;Dummy 24;Finished;24;;;;;
UserStory;US25;PRJ1;25;Actor25;Dummy 25;Finished;25;;;;;
UserStory;US26;PRJ1;26;Actor26;Dummy 26;Finished;26;;;;;
UserStory;US27;PRJ1;27;Actor27;Dummy 27;Finished;27;;;;;
UserStory;US28;PRJ1;28;Actor28;Dummy 28;Finished;28;;;;;
UserStory;US29;PRJ1;29;Actor29;Dummy 29;Finished;29;;;;;
UserStory;US30;PRJ1;30;Actor30;Dummy 30;Finished;30;;;;;
UserStory;US31;PRJ2;1;Actor1;Dummy 001;Finished;3;;;;;
UserStory;US32;PRJ2;2;Actor2;Dummy 002;Finished;4;;;;;
UserStory;US33;PRJ2;3;Actor3;Dummy 003;Finished;5;;;;;
UserStory;US34;PRJ2;4;Actor4;Dummy 004;Finished;6;;;;;
UserStory;US35;PRJ2;5;Actor5;Dummy 005;Finished;7;;;;;
UserStory;US36;PRJ2;6;Actor6;Dummy 006;Finished;8;;;;;
UserStory;US37;PRJ2;7;Actor7;Dummy 007;Finished;9;;;;;
UserStory;US38;PRJ2;8;Actor8;Dummy 008;Finished;10;;;;;
UserStory;US39;PRJ2;9;Actor9;Dummy 009;Finished;11;;;;;
UserStory;US40;PRJ2;10;Actor10;Dummy 010;Running;1;;;;;
UserStory;US41;PRJ2;11;Actor11;Dummy 011;Finished;12;;;;;
UserStory;US42;PRJ2;12;Actor12;Dummy 012;Finished;13;;;;;
UserStory;US43;PRJ2;13;Actor13;Dummy 013;Finished;14;;;;;
UserStory;US44;PRJ2;14;Actor14;Dummy 014;Finished;15;;;;;
UserStory;US45;PRJ2;15;Actor15;Dummy 015;Finished;16;;;;;
UserStory;US46;PRJ2;16;Actor16;Dummy 016;Finished;17;;;;;
UserStory;US47;PRJ2;17;Actor17;Dummy 017;Finished;18;;;;;
UserStory;US48;PRJ2;18;Actor18;Dummy 018;Finished;19;;;;;
UserStory;US49;PRJ2;19;Actor19;Dummy 019;Finished;20;;;;;
UserStory;US50;PRJ2;20;Actor20;Dummy 020;Finished;21;;;;;
UserStory;US51;PRJ2;21;Actor21;Dummy 021;Finished;22;;;;;
UserStory;US52;PRJ2;22;Actor22;Dummy 022;Finished;23;;;;;
UserStory;US53;PRJ2;23;Actor23;Dummy 023;Blocked;24;;;;;
UserStory;US54;PRJ2;24;Actor24;Dummy 024;Finished;25;;;;;
UserStory;US55;PRJ2;25;Actor25;Dummy 025;Finished;26;;;;;
UserStory;US56;PRJ2;26;Actor26;Dummy 026;Finished;27;;;;;
UserStory;US57;PRJ2;27;Actor27;Dummy 027;Finished;28;;;;;
UserStory;US58;PRJ2;28;Actor28;Dummy 028;Finished;29;;;;;
UserStory;US59;PRJ2;29;Actor29;Dummy 029;Finished;30;;;;;
UserStory;US60;PRJ2;30;Actor30;Dummy 030;Finished;31;;;;;
UserStory;US61;PRJ2;30;Actor31;Dummy 031;Finished;32;;;;;
UserStory;US62;PRJ2;30;Actor32;Dummy 032;Finished;33;;;;;
UserStory;US63;PRJ2;30;Actor33;Dummy 033;Finished;34;;;;;
UserStory;US64;PRJ2;30;Actor34;Dummy 034;Finished;35;;;;;
UserStory;US65;PRJ2;30;Actor35;Dummy 035;Blocked;36;;;;;
UserStory;US66;PRJ2;30;Actor36;Dummy 036;Running;2;;;;;
Sprint;SP1;1;2022-03-01;2022-03-16;PRJ1;closed;;;;;;
Sprint;SP2;2;2022-03-17;2022-04-01;PRJ1;closed;;;;;;
Sprint;SP3;3;2022-04-02;2022-04-22;PRJ1;closed;;;;;;
Sprint;SP4;4;2022-04-23;2022-05-06;PRJ1;closed;;;;;;
Sprint;SP5;5;2022-05-07;2022-05-20;PRJ1;closed;;;;;;
Sprint;SP6;6;2022-05-21;2022-06-03;PRJ1;closed;;;;;;
Sprint;SP7;7;2022-06-04;2022-06-17;PRJ1;closed;;;;;;
Sprint;SP8;8;2022-06-18;2022-06-30;PRJ1;closed;;;;;;
